token,count,humor_type,type_score,score_dark_humor,score_wordplay_puns,score_sarcasm_irony,score_absurd_surreal,score_topical_political,score_relationship_family,score_workplace_office,score_animals
man,494,dark_humor,0.12008313,0.12008313,0.09105317,0.09593299,0.024971554,0.08831881,0.10145417,0.11897749,0.085992604
two,182,dark_humor,0.15201102,0.15201102,0.13673319,0.10869067,0.106907815,0.11256972,0.087702036,0.013542952,0.09963746
people,169,animals,0.13765448,0.13270417,0.06781488,0.01729613,0.086776935,0.085838884,0.12966593,-0.011647008,0.13765448
woman,147,relationship_family,0.11316326,0.08297689,0.053556524,0.009029157,0.04519456,-0.010657653,0.11316326,0.07415471,0.06772551
one,119,animals,0.1546903,0.15434659,0.07913145,0.10691744,0.11165907,0.095932275,0.014593175,0.057897553,0.1546903
room,102,absurd_surreal,0.20457274,0.1773362,0.062381707,0.019513162,0.20457274,0.057174265,0.06763001,0.041220333,0.15049854
sitting,97,animals,0.100473344,0.09998468,0.057572436,0.083783105,0.06208324,0.07421101,0.046649687,-0.07187893,0.100473344
talking,90,animals,0.18513581,0.10906696,0.105047025,0.045626037,0.10708794,0.12489827,0.09220891,0.054321855,0.18513581
office,90,workplace_office,0.3672608,0.21560818,0.0952395,0.06205409,0.11222103,0.16456561,0.06606348,0.3672608,0.15330674
unusual,87,absurd_surreal,0.36452493,0.14906675,0.13008414,0.11731093,0.36452493,0.005848202,0.0076551475,0.003256655,0.09120896
like,82,topical_political,0.12009649,0.11389451,0.057565033,0.076846756,0.04206863,0.12009649,0.016993493,-0.01934976,0.11400286
standing,77,absurd_surreal,0.09042151,0.04002148,0.041387837,0.056214865,0.09042151,0.03259859,0.00026526395,-0.0038200486,0.06954399
looking,75,animals,0.11338719,0.08018498,-0.04589094,0.014221297,0.060335677,0.10462937,0.021223381,0.050704807,0.11338719
wearing,69,animals,0.11207184,0.0880401,0.026740517,0.027763205,0.013149036,0.077845044,0.01725937,0.00094274804,0.11207184
huge,66,absurd_surreal,0.11033239,0.053665724,0.0492305,0.05059497,0.11033239,0.08072236,0.03582811,0.06000266,0.102626525
looks,65,topical_political,0.1509242,0.11529607,0.008225445,0.10271363,0.118702605,0.1509242,0.04681487,0.05802677,0.08950713
men,64,relationship_family,0.17321657,0.13461691,0.057442784,0.0329666,0.04216497,0.09325151,0.17321657,0.047048945,0.11242322
living,59,dark_humor,0.19224109,0.19224109,0.037358645,0.10817,0.14910159,0.0942417,0.090457276,-0.0058353227,0.15594593
table,56,workplace_office,0.14458671,0.10436346,-0.010864495,0.102612026,0.017183704,0.09436063,0.016185291,0.14458671,0.11252136
see,56,wordplay_puns,0.15132375,0.08472879,0.15132375,0.11759046,0.09756647,0.11827697,0.051906224,0.0972561,0.14759651
restaurant,55,relationship_family,0.12066516,0.08062212,0.028716642,0.08213867,0.10311939,0.046398856,0.12066516,0.016236208,0.114071414
another,51,absurd_surreal,0.16028476,0.12717818,0.105561726,0.12710261,0.16028476,0.11610048,0.1211731,0.044880245,0.12375328
giant,51,absurd_surreal,0.19652008,0.07292005,0.05635537,0.061621986,0.19652008,0.036327362,-0.020019503,0.057527915,0.1632915
inside,47,absurd_surreal,0.15714777,0.13089871,-0.019011395,0.030218456,0.15714777,0.07806772,0.013915628,-0.054007594,0.13119957
outside,44,relationship_family,0.11030588,0.1083671,0.010032719,-0.008368153,0.024484051,0.0415155,0.11030588,-0.034512337,0.09109905
couple,43,relationship_family,0.4136141,0.077631585,0.12780467,0.06338973,0.0714968,0.05601005,0.4136141,0.07880369,0.06240127
head,43,animals,0.29950014,0.2532576,0.11878758,0.0130618885,0.20146438,0.149281,0.053411573,0.02516432,0.29950014
