month,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7
2016-03-01,10.0,28.0,41.0,37.0,39.0,4.0,12.0,29.0
2016-04-01,2.0,20.0,45.0,17.0,21.0,5.0,76.0,14.0
2016-05-01,55.0,39.0,42.0,21.0,28.0,17.0,24.0,24.0
2016-06-01,3.0,21.0,25.0,10.0,9.0,4.0,13.0,15.0
2016-07-01,4.0,36.0,47.0,21.0,36.0,6.0,32.0,18.0
2016-08-01,12.0,31.0,24.0,13.0,30.0,4.0,20.0,16.0
2016-09-01,24.0,20.0,32.0,9.0,35.0,23.0,18.0,39.0
2016-10-01,77.0,19.0,33.0,14.0,22.0,8.0,9.0,18.0
2016-11-01,40.0,44.0,35.0,17.0,23.0,3.0,20.0,18.0
2016-12-01,3.0,38.0,35.0,12.0,53.0,5.0,34.0,20.0
2017-01-01,19.0,28.0,35.0,24.0,22.0,0.0,52.0,20.0
2017-02-01,5.0,27.0,24.0,26.0,22.0,21.0,13.0,12.0
2017-03-01,40.0,37.0,21.0,11.0,22.0,30.0,22.0,17.0
2017-04-01,5.0,43.0,43.0,12.0,35.0,10.0,29.0,23.0
2017-05-01,44.0,27.0,35.0,38.0,49.0,8.0,19.0,30.0
2017-06-01,12.0,38.0,22.0,18.0,21.0,6.0,11.0,22.0
2017-07-01,5.0,18.0,26.0,38.0,20.0,23.0,28.0,42.0
2017-08-01,33.0,16.0,14.0,1.0,10.0,39.0,10.0,27.0
2017-09-01,29.0,22.0,28.0,24.0,39.0,6.0,25.0,27.0
2017-10-01,49.0,50.0,22.0,14.0,24.0,17.0,36.0,38.0
2017-11-01,28.0,25.0,17.0,21.0,27.0,26.0,30.0,26.0
2017-12-01,45.0,37.0,27.0,9.0,31.0,4.0,20.0,27.0
2018-01-01,48.0,48.0,36.0,27.0,19.0,4.0,38.0,30.0
2018-02-01,7.0,36.0,49.0,24.0,37.0,20.0,16.0,11.0
2018-03-01,55.0,28.0,16.0,13.0,19.0,20.0,27.0,22.0
2018-04-01,24.0,48.0,46.0,11.0,36.0,27.0,33.0,25.0
2018-05-01,19.0,56.0,27.0,14.0,13.0,10.0,30.0,31.0
2018-06-01,20.0,39.0,13.0,22.0,26.0,14.0,31.0,35.0
2018-07-01,26.0,36.0,55.0,19.0,50.0,18.0,23.0,23.0
2018-08-01,5.0,21.0,35.0,22.0,29.0,30.0,34.0,24.0
2018-09-01,11.0,48.0,39.0,17.0,13.0,22.0,32.0,18.0
2018-10-01,22.0,48.0,30.0,49.0,40.0,15.0,15.0,31.0
2018-11-01,7.0,45.0,18.0,10.0,55.0,36.0,14.0,15.0
2018-12-01,64.0,42.0,19.0,19.0,29.0,8.0,21.0,48.0
2019-01-01,13.0,27.0,31.0,52.0,19.0,32.0,17.0,9.0
2019-02-01,9.0,35.0,49.0,13.0,20.0,30.0,37.0,7.0
2019-03-01,12.0,32.0,52.0,24.0,15.0,16.0,23.0,26.0
2019-04-01,25.0,55.0,39.0,35.0,22.0,48.0,17.0,9.0
2019-05-01,24.0,28.0,38.0,27.0,34.0,9.0,27.0,13.0
2019-06-01,18.0,21.0,30.0,59.0,30.0,9.0,22.0,11.0
2019-07-01,15.0,46.0,49.0,24.0,39.0,43.0,26.0,8.0
2019-08-01,3.0,37.0,31.0,17.0,24.0,44.0,30.0,14.0
2019-09-01,55.0,20.0,38.0,29.0,12.0,33.0,24.0,39.0
2019-10-01,13.0,47.0,24.0,18.0,40.0,13.0,27.0,18.0
2019-11-01,26.0,24.0,16.0,9.0,42.0,46.0,21.0,16.0
2019-12-01,11.0,37.0,49.0,38.0,29.0,34.0,23.0,29.0
2020-01-01,20.0,37.0,13.0,29.0,24.0,25.0,35.0,17.0
2020-02-01,3.0,40.0,18.0,35.0,31.0,17.0,34.0,22.0
2020-03-01,33.0,69.0,29.0,15.0,24.0,6.0,52.0,22.0
2020-04-01,18.0,35.0,29.0,27.0,16.0,24.0,26.0,25.0
2020-05-01,8.0,38.0,36.0,19.0,23.0,6.0,19.0,51.0
2020-06-01,10.0,73.0,38.0,15.0,17.0,26.0,41.0,30.0
2020-07-01,5.0,28.0,38.0,21.0,29.0,10.0,47.0,22.0
2020-08-01,15.0,32.0,58.0,38.0,31.0,21.0,40.0,15.0
2020-09-01,69.0,21.0,23.0,7.0,12.0,7.0,34.0,27.0
2020-10-01,15.0,40.0,41.0,36.0,16.0,22.0,22.0,8.0
2020-11-01,37.0,41.0,20.0,24.0,25.0,30.0,57.0,16.0
2020-12-01,4.0,40.0,46.0,32.0,28.0,13.0,26.0,11.0
2021-01-01,11.0,42.0,57.0,16.0,25.0,13.0,25.0,11.0
2021-02-01,15.0,22.0,32.0,14.0,26.0,42.0,11.0,38.0
2021-03-01,11.0,26.0,50.0,27.0,43.0,33.0,32.0,28.0
2021-04-01,46.0,23.0,41.0,14.0,21.0,10.0,9.0,36.0
2021-05-01,3.0,36.0,46.0,31.0,38.0,34.0,32.0,30.0
2021-06-01,43.0,35.0,14.0,15.0,20.0,20.0,13.0,40.0
2021-07-01,31.0,17.0,56.0,17.0,30.0,14.0,17.0,18.0
2021-08-01,35.0,54.0,38.0,28.0,27.0,8.0,25.0,35.0
2021-09-01,8.0,35.0,37.0,19.0,29.0,9.0,21.0,42.0
2021-10-01,29.0,26.0,20.0,14.0,15.0,32.0,38.0,26.0
2021-11-01,45.0,38.0,46.0,28.0,37.0,22.0,11.0,23.0
2021-12-01,16.0,32.0,33.0,20.0,38.0,14.0,10.0,37.0
2022-01-01,23.0,40.0,23.0,20.0,32.0,13.0,48.0,51.0
2022-02-01,11.0,18.0,31.0,20.0,51.0,10.0,36.0,23.0
2022-03-01,6.0,28.0,33.0,16.0,29.0,41.0,23.0,24.0
2022-04-01,35.0,42.0,50.0,38.0,13.0,5.0,12.0,5.0
2022-05-01,23.0,30.0,30.0,36.0,52.0,23.0,23.0,33.0
2022-06-01,14.0,40.0,65.0,21.0,25.0,2.0,23.0,10.0
2022-07-01,10.0,19.0,13.0,37.0,27.0,38.0,28.0,28.0
2022-08-01,17.0,67.0,35.0,38.0,30.0,18.0,37.0,8.0
2022-09-01,2.0,30.0,43.0,36.0,41.0,13.0,22.0,13.0
2022-10-01,36.0,32.0,47.0,24.0,30.0,6.0,31.0,44.0
2022-11-01,4.0,52.0,20.0,17.0,29.0,44.0,25.0,9.0
2022-12-01,7.0,21.0,26.0,31.0,38.0,22.0,28.0,27.0
2023-01-01,11.0,67.0,32.0,14.0,23.0,23.0,52.0,28.0
2023-02-01,3.0,38.0,57.0,19.0,30.0,20.0,21.0,12.0
2023-03-01,6.0,29.0,34.0,24.0,23.0,22.0,21.0,41.0
2023-04-01,7.0,30.0,19.0,33.0,12.0,33.0,48.0,18.0
2023-05-01,54.0,57.0,28.0,25.0,17.0,6.0,31.0,32.0
2023-06-01,50.0,32.0,27.0,16.0,20.0,7.0,21.0,27.0
2023-07-01,6.0,23.0,57.0,49.0,47.0,12.0,19.0,37.0
2023-08-01,4.0,29.0,53.0,12.0,41.0,11.0,33.0,17.0
2023-09-01,8.0,38.0,11.0,14.0,7.0,5.0,27.0,40.0
