caption,mean,precision,votes,not_funny,somewhat_funny,funny,llm_humor_labels,llm_sentiment
Lunch is on me.,2.518293650793651,0.00408517959673,25200,2183,7784,15232,unknown,neutral
Dinner's on ME.,2.2584904690952063,0.0053368205619324,19463,3538,7356,8565,unknown,neutral
Dinner’s on me tonight.,2.1746886805652723,0.0063162832237645,14294,3045,5707,5542,unknown,neutral
He’s telling his friends it’s not deep. So be patient.,2.1644958746302736,0.0056246967932086,19271,4575,6960,7735,sarcasm,neutral
"I didn't know what you were serving, so I brought white.",2.097511937672782,0.0063800337672113,15916,4490,5398,6028,unknown,neutral
"Fresh? Sir, I assure you these were walking on land this morning.",2.065412445730825,0.0067474417716427,13820,3925,5066,4829,sarcasm,neutral
A back massage and then dinner. What's not to like?,2.040395233943621,0.0059955252216674,17205,5019,6483,5701,sarcasm,positive
It’s like a good wine. You let it breathe before consuming it.,2.021742057081314,0.0064653997189834,14856,4462,5612,4782,irony,positive
I brought dinner.,2.01237938039614,0.0060613641993649,15752,4484,6597,4670,irony,neutral
It's carryout.,1.9885259695555728,0.0067829024699129,13073,4007,5209,3857,sarcasm,neutral
Off Coney Island. There's thousands of them.,1.9805385454240416,0.0071189600665864,11921,3719,4715,3487,not_evaluated,not_evaluated
"I’m letting him sunburn a bit more, I prefer extra crispy.",1.9802217984036168,0.0065429580691632,14157,4455,5536,4166,not_evaluated,not_evaluated
Once I gave him a name I didn’t have the heart to eat him.,1.951624377519564,0.0069316778390498,12651,4178,4912,3561,not_evaluated,not_evaluated
Eat a guy and you'll be full. Use him as bait and we'll all be full.,1.9482954115957367,0.006941371262328,13229,4583,4750,3896,not_evaluated,not_evaluated
I got us a politician. There is no backbone !,1.9447415329768272,0.010155625225204,6732,2533,2038,2161,not_evaluated,not_evaluated
"I used to feel sorry for them, but this one is wearing a MAGA hat.",1.9345803842264917,0.0085062911877882,9890,3883,2771,3236,not_evaluated,not_evaluated
"I swear, it is like the universe does not want me to stay vegan.",1.9322836266337349,0.0080509305306201,9717,3411,3553,2753,not_evaluated,not_evaluated
Lucky for him this is the last thing on his bucket list.,1.923888085721575,0.0072934979919576,11759,4194,4277,3285,not_evaluated,not_evaluated
You want the other half?,1.8955374231892816,0.0077972531717462,9927,3568,3828,2531,not_evaluated,not_evaluated
It's part of this whole shore-to-table thing.,1.895239780569811,0.0104759653334967,5651,2079,2085,1487,not_evaluated,not_evaluated
"He has a name, Dad. It's Greg. And I love him.",1.894987121062017,0.0081268707998316,10094,3975,3214,2905,not_evaluated,not_evaluated
"When I get hungry, or he realizes I'm not a dolphin, whichever comes first!",1.8941635287789131,0.0090155491298468,7436,2682,2859,1895,not_evaluated,not_evaluated
And I suppose you've never played with your food.,1.8616720728262008,0.0077773760880609,9557,3520,3838,2197,not_evaluated,not_evaluated
He’s paying an arm and a leg for the ride.,1.85369532428356,0.0088488143623043,7956,3145,2830,1981,not_evaluated,not_evaluated
He' s my emotional support animal.,1.851817621688232,0.0080844286764895,9738,3957,3278,2501,not_evaluated,not_evaluated
"If you liked our food delivery service, please give me 5 stars.",1.8495557552161328,0.0078077824365319,10017,3975,3593,2448,not_evaluated,not_evaluated
My treat.,1.846581196581197,0.0159472025840917,2340,903,893,544,not_evaluated,not_evaluated
I was told we had to bring our own lunch.,1.82840931324594,0.0073381466528091,10222,3867,4251,2103,not_evaluated,not_evaluated
So we each grab a leg and make a wish.,1.827925572812548,0.009943312539814,6503,2746,2130,1627,not_evaluated,not_evaluated
How did these things ever make it to the top of the food chain?,1.8074143889412504,0.0140766505892873,3183,1369,1058,756,not_evaluated,not_evaluated
Professional courtesy....he’s a lawyer.,1.8036984352773824,0.0083823160350566,9139,4016,2903,2218,not_evaluated,not_evaluated
I'm letting him take one last selfie.,1.800770189149394,0.0081778359586904,8829,3671,3250,1908,not_evaluated,not_evaluated
"Jump up and yell, 'I'm that goldfish you flushed!' 
And then we'll eat him.""",1.7974580413883006,0.010351754562721,6137,2764,1850,1522,not_evaluated,not_evaluated
"Yes, I KNOW I'm holding up dinner.",1.7815805849408837,0.0097127456426242,6428,2804,2224,1400,not_evaluated,not_evaluated
"Last time I ate one this stupid, I was sick for a week.",1.7801284891448823,0.0082431182872877,9028,3997,3026,2004,not_evaluated,not_evaluated
He's never seen the movie,1.769529983792545,0.0097579907710387,6170,2687,2218,1265,not_evaluated,not_evaluated
"Well, that's embarrassing. How long has it been there?",1.7610062893081762,0.0104574598337983,5565,2517,1861,1187,not_evaluated,not_evaluated
"Seems only fair ,
I ate his surfboard.",1.7503811805706817,0.0111289709575811,4591,2021,1695,875,not_evaluated,not_evaluated
This is why they think most shark attacks occur in only three feet of water.,1.7490340030911902,0.0107335976110001,5176,2363,1752,1061,not_evaluated,not_evaluated
"You go ahead, Frank. SPF 30 gives me heartburn.",1.7481525863790692,0.0105719457525014,5007,2205,1864,938,not_evaluated,not_evaluated
‘Hold off a bit. He’s bragging about being “king of the sandbar” to four guys in backwards ball caps.’,1.743398570984778,0.009549412018151,6438,2945,2207,1286,not_evaluated,not_evaluated
Another Darwin Award winner.,1.7245405405405403,0.0116148336305777,4625,2255,1389,981,not_evaluated,not_evaluated
Found him in the shallow end of gene pool.,1.720961887477314,0.0118996957426984,4408,2162,1314,932,not_evaluated,not_evaluated
"He’s locally sourced, and most importantly, cage free!",1.7206946454413894,0.0147627170287158,2764,1333,874,557,not_evaluated,not_evaluated
"Soon, he won't have a leg to stand on.",1.7193387158785085,0.0087211391776567,7803,3730,2538,1535,not_evaluated,not_evaluated
I just can’t do it without the theme music.”,1.705340699815838,0.0114069996252108,4344,2056,1512,776,not_evaluated,not_evaluated
Remember when Mom read us that story about how the fox tricked the Gingerbread Man and you said nobody could be that stupid?,1.702463054187192,0.0137735775407029,3045,1467,1017,561,not_evaluated,not_evaluated
"When I go low, you go high.",1.7002640845070425,0.0160483403457819,2272,1107,739,426,not_evaluated,not_evaluated
Just be patient. He’s calling his friends.,1.699007717750827,0.0099440894871159,5442,2537,2009,896,not_evaluated,not_evaluated
"Oh, did you want me to pick up something for you, too?",1.6816177588566217,0.0089717337159318,6577,3131,2413,1033,not_evaluated,not_evaluated
"I love a well-balanced meal, don't you?",1.670972127804215,0.0112797724089383,4413,2211,1446,756,not_evaluated,not_evaluated
"Let's wait another sec, .   .   .   he still thinks he's on his buddy's shoulders.",1.6678966789667895,0.0319979789745666,542,270,182,90,not_evaluated,not_evaluated
"Your order is ready, sir...",1.6678035470668486,0.0191938864250408,1466,720,513,233,not_evaluated,not_evaluated
Luckily the dumb ones taste just as good.,1.6655501159494976,0.0119542339009823,3881,1947,1287,647,not_evaluated,not_evaluated
"First, I gain their trust.",1.6637873754152823,0.0108508164612912,4515,2214,1605,696,not_evaluated,not_evaluated
Trust me.  This makes it easier to get all the others into the water.,1.6631912964641886,0.0108841995621136,4412,2146,1606,660,not_evaluated,not_evaluated
He still thinks I'm Flipper.,1.6576642335766425,0.0203466637734679,1370,703,433,234,not_evaluated,not_evaluated
"Hey, Sam, I’d like you to meet my chum.",1.6561104344295574,0.0108356273597408,4926,2585,1459,882,not_evaluated,not_evaluated
"On one hand, we have a reputation to uphold.  On the other hand, this shiatsu foot massage really feels good.",1.6542870243007797,0.0154663427092281,2181,1076,783,322,not_evaluated,not_evaluated
Do you want to see what a big surprise looks like?,1.6465598491988689,0.0230678393925861,1061,553,330,178,not_evaluated,not_evaluated
The guy at the bait shop said this could get us a couple lifeguards.,1.6407322654462242,0.0146680053836223,2622,1393,787,442,not_evaluated,not_evaluated
"To be honest, I'm thinking of giving up this Uber thing.",1.632079746261894,0.0160568732386279,2207,1183,653,371,not_evaluated,not_evaluated
How about some help carrying the groceries?,1.6272560816113,0.0117224138995964,3823,1987,1275,560,not_evaluated,not_evaluated
