token,count
man,108
saying,30
huge,21
people,20
like,18
wearing,18
get,14
woman,14
trying,13
house,12
person,11
fish,10
head,10
carrying,9
dressed,9
going,9
happened,9
king,9
want,9
whale,9
big,8
dog,8
men,8
playing,8
shark,8
bear,7
caveman,7
doctor,7
hair,7
knight,7
restaurant,7
room,7
talking,7
waiter,7
bird,6
birds,6
building,6
car,6
cat,6
couple,6
long,6
office,6
one,6
sword,6
table,6
using,6
alive,5
alligator,5
angry,5
animals,5
beach,5
choose,5
color,5
come,5
dead,5
dogs,5
giant,5
inside,5
living,5
mountain,5
mouse,5
paper,5
piano,5
shop,5
sitting,5
snake,5
think,5
two,5
watching,5
water,5
able,4
another,4
back,4
ball,4
bar,4
boy,4
bringing,4
build,4
cave,4
city,4
clothes,4
clown,4
coming,4
cooking,4
dinner,4
eating,4
giraffes,4
hole,4
large,4
menu,4
pirate,4
running,4
say,4
sheep,4
snowman,4
stand,4
staring,4
subway,4
top,4
way,4
would,4
angel,3
around,3
baker,3
baseball,3
bike,3
blender,3
briefcase,3
bull,3
cactus,3
cake,3
calling,3
caused,3
chef,3
cherry,3
china,3
colored,3
computers,3
death,3
desert,3
dolphins,3
drunk,3
earth,3
egg,3
face,3
find,3
fly,3
genie,3
gingerbread,3
giraffe,3
glass,3
globe,3
grilling,3
grim,3
guy,3
hammock,3
hamster,3
happy,3
hat,3
holding,3
horse,3
island,3
kitchen,3
laying,3
leaves,3
lion,3
lizard,3
made,3
many,3
meeting,3
monkeys,3
moon,3
mosquito,3
mounted,3
need,3
outlines,3
outside,3
party,3
place,3
plank,3
plaque,3
rat,3
reaper,3
rug,3
small,3
snail,3
snowmen,3
soup,3
standing,3
still,3
suit,3
taking,3
time,3
tower,3
trees,3
tub,3
tubas,3
unicorn,3
weight,3
wet,3
wheel,3
winking,3
acting,2
actually,2
air,2
aliens,2
alley,2
anchor,2
angels,2
armor,2
astronaut,2
attached,2
become,2
biting,2
boat,2
bowl,2
built,2
cacti,2
cats,2
cavemen,2
climbing,2
cloud,2
coffee,2
cone,2
cop,2
couch,2
creature,2
deer,2
desk,2
diver,2
door,2
dragon,2
drink,2
drinking,2
drones,2
eat,2
exactly,2
experiment,2
fall,2
fire,2
flooded,2
flowers,2
food,2
frowning,2
full,2
garbage,2
gigantic,2
giving,2
golf,2
groceries,2
guard,2
halo,2
hand,2
hiker,2
hit,2
hitchhiker,2
hospital,2
hot,2
human,2
intelligent,2
jet,2
kind,2
kite,2
knife,2
lab,2
lady,2
leading,2
leg,2
legs,2
locked,2
machines,2
magician,2
making,2
male,2
manage,2
mannequin,2
maze,2
mice,2
mobster,2
modern,2
moving,2
next,2
nothing,2
organ,2
overly,2
pack,2
park,2
petting,2
piece,2
pigeon,2
pizza,2
propeller,2
put,2
roller,2
row,2
sandbox,2
seeing,2
selling,2
ship,2
