token,count
man,298
two,169
woman,122
people,90
one,85
sitting,85
talking,79
looking,69
standing,64
looks,53
room,49
men,44
another,42
table,40
couple,36
giant,35
look,34
office,34
wearing,33
front,32
holding,31
outside,28
walking,27
around,26
inside,26
huge,24
behind,23
restaurant,23
watching,23
face,22
living,22
staring,22
doctor,21
couch,20
next,20
three,20
top,20
dog,19
head,19
person,19
waiter,19
bunch,18
carrying,18
caveman,18
large,18
like,18
king,17
cave,16
fish,16
house,16
angry,15
bar,15
door,15
ground,15
island,15
appears,14
boy,14
middle,14
building,13
car,13
desert,13
facing,13
hand,13
kitchen,13
knight,13
paper,13
phone,13
see,13
store,13
together,13
back,12
chair,12
coming,12
hair,12
happy,12
horse,12
nearby,12
patient,12
suit,12
wall,12
window,12
cat,11
dressed,11
meeting,11
mountain,11
playing,11
reading,11
sits,11
small,11
someone,11
stands,11
bear,10
city,10
conversation,10
counter,10
drink,10
expression,10
group,10
right,10
sharks,10
sheep,10
side,10
subway,10
taking,10
train,10
water,10
whale,10
animals,9
background,9
bird,9
climbing,9
clothes,9
desk,9
dinner,9
going,9
hat,9
hole,9
lab,9
laying,9
leaves,9
mouth,9
seems,9
shop,9
snow,9
surrounded,9
towards,9
waiting,9
wine,9
across,8
also,8
baseball,8
cooking,8
dogs,8
drinking,8
long,8
maze,8
menu,8
observing,8
park,8
party,8
piano,8
police,8
running,8
seated,8
speaking,8
stares,8
throne,8
tower,8
tree,8
trying,8
women,8
air,7
appear,7
bartender,7
board,7
business,7
cake,7
clothing,7
clouds,7
crawling,7
deer,7
drinks,7
earth,7
elevator,7
floor,7
food,7
genie,7
making,7
mouse,7
ocean,7
officer,7
old,7
order,7
riding,7
ship,7
shocked,7
showing,7
sidewalk,7
stare,7
station,7
suits,7
watches,7
way,7
arms,6
boat,6
cliff,6
cloud,6
clown,6
coffee,6
computer,6
confused,6
foreground,6
glass,6
high,6
judge,6
legs,6
mice,6
needle,6
number,6
open,6
piece,6
pirates,6
plane,6
psychiatrist,6
rat,6
snake,6
sofa,6
something,6
stand,6
still,6
street,6
stuck,6
sword,6
therapist,6
tied,6
tiny,6
wheel,6
worried,6
aliens,5
angel,5
angels,5
astronaut,5
away,5
big,5
briefcase,5
castle,5
ceiling,5
child,5
covered,5
cup,5
customers,5
dragon,5
eating,5
employee,5
field,5
fire,5
flying,5
full,5
giraffe,5
giraffes,5
grill,5
hammock,5
hamster,5
hanging,5
hikers,5
jack,5
lawyer,5
left,5
lizard,5
mounted,5
near,5
pirate,5
place,5
plank,5
pool,5
scene,5
scientist,5
scientists,5
seem,5
snail,5
soup,5
surprised,5
third,5
tracks,5
tries,5
upset,5
walks,5
working,5
yoga,5
alligator,4
animal,4
art,4
baker,4
barber,4
beach,4
beanstalk,4
bed,4
beer,4
beside,4
birds,4
body,4
bowl,4
bull,4
chatting,4
chef,4
church,4
computers,4
cowboy,4
cowboys,4
crown,4
destroyed,4
distance,4
drawing,4
drunk,4
dwarfs,4
egg,4
end,4
entire,4
game,4
get,4
gingerbread,4
giving,4
grim,4
guard,4
heads,4
home,4
hot,4
hunter,4
knife,4
lady,4
lamp,4
lion,4
little,4
magician,4
modern,4
mosquito,4
normal,4
organ,4
pigeon,4
pizza,4
planets,4
policeman,4
pouring,4
pulling,4
pushing,4
rabbit,4
raking,4
rapunzel,4
reaper,4
relaxing,4
road,4
sandbox,4
shock,4
shopping,4
signs,4
snowman,4
straight,4
suspenders,4
tattered,4
tie,4
toaster,4
traps,4
tub,4
underwater,4
waving,4
weight,4
windows,4
witness,4
wolf,4
wolves,4
wrapped,4
adults,3
alcohol,3
alley,3
along,3
anchor,3
approaching,3
armor,3
attached,3
attacked,3
attire,3
bat,3
beached,3
bench,3
blender,3
blindfolded,3
block,3
booth,3
brush,3
cactus,3
cavemen,3
cavepeople,3
cement,3
chart,3
chefs,3
cherry,3
chest,3
china,3
clerk,3
club,3
coffins,3
come,3
comes,3
completely,3
corner,3
courtroom,3
crime,3
date,3
death,3
deep,3
dinosaur,3
dive,3
diver,3
dolphins,3
drones,3
dumpty,3
edge,3
elephant,3
employees,3
empty,3
everyone,3
examination,3
faces,3
far,3
filled,3
flowers,3
gas,3
gear,3
getting,3
glasses,3
golf,3
gun,3
hall,3
hands,3
happening,3
hazmat,3
hiking,3
horses,3
hospital,3
human,3
humpty,3
kites,3
lawn,3
leading,3
line,3
listening,3
locked,3
lounging,3
many,3
medieval,3
mess,3
mobster,3
monkeys,3
moon,3
museum,3
music,3
neck,3
necks,3
notes,3
nothing,3
offering,3
onto,3
opening,3
others,3
outlines,3
palm,3
path,3
phones,3
points,3
possibly,3
priest,3
princess,3
