token,count
man,88
unusual,87
people,59
like,46
see,42
would,34
one,28
place,25
huge,21
usually,20
large,19
office,19
wearing,18
also,17
modern,17
time,16
animals,15
inside,15
face,14
head,14
human,14
odd,14
water,14
dressed,13
exist,13
fish,13
house,13
king,13
normally,13
size,13
clothes,12
men,12
top,12
way,12
wear,12
get,11
giant,11
instead,11
looks,11
middle,11
outside,11
room,11
woman,11
belong,10
birds,10
hair,10
living,10
someone,10
standing,10
bar,9
doctor,9
earth,9
holding,9
humans,9
mountain,9
person,9
typically,9
around,8
baseball,8
car,8
death,8
dog,8
dogs,8
food,8
kitchen,8
long,8
mice,8
nothing,8
piano,8
table,8
two,8
back,7
big,7
knight,7
period,7
playing,7
restaurant,7
shark,7
shop,7
sitting,7
supposed,7
walk,7
whale,7
acting,6
alive,6
carrying,6
come,6
coming,6
could,6
full,6
impossible,6
island,6
looking,6
rat,6
real,6
snow,6
stand,6
tiny,6
use,6
watching,6
well,6
another,5
appears,5
beach,5
bird,5
building,5
cacti,5
cat,5
clothing,5
color,5
dangerous,5
desert,5
eat,5
find,5
fire,5
fit,5
fly,5
found,5
gigantic,5
giraffes,5
horse,5
larger,5
lion,5
much,5
plank,5
play,5
rather,5
seeing,5
seems,5
sheep,5
small,5
snowmen,5
subway,5
sword,5
talk,5
things,5
upright,5
wall,5
work,5
yoga,5
able,4
act,4
additionally,4
air,4
anyone,4
armor,4
baker,4
ball,4
bears,4
build,4
bull,4
cave,4
caveman,4
cavemen,4
city,4
close,4
clouds,4
computers,4
different,4
dress,4
egg,4
element,4
even,4
give,4
happy,4
houses,4
live,4
look,4
magic,4
mouse,4
nowhere,4
ocean,4
patient,4
pirate,4
pizza,4
police,4
pool,4
rapunzel,4
really,4
restaurants,4
sand,4
scene,4
seen,4
shape,4
shoes,4
shopping,4
since,4
snake,4
somehow,4
station,4
still,4
store,4
strange,4
suit,4
suits,4
taking,4
talking,4
thing,4
times,4
train,4
trees,4
trying,4
ufos,4
used,4
waiter,4
walking,4
whales,4
window,4
world,4
wrong,4
alligator,3
anchor,3
angels,3
anything,3
apple,3
astronaut,3
bear,3
behind,3
boat,3
boy,3
buildings,3
cake,3
cats,3
cause,3
cherry,3
cliff,3
cloud,3
cone,3
cooking,3
danger,3
dead,3
deer,3
desk,3
dinner,3
dinosaurs,3
diver,3
dolphins,3
dragons,3
ducks,3
enough,3
especially,3
everyone,3
expect,3
eyes,3
faces,3
fall,3
game,3
gingerbread,3
golf,3
grim,3
ground,3
guard,3
hammock,3
hamster,3
hat,3
horses,3
intelligent,3
kids,3
kings,3
lady,3
leaves,3
lizard,3
lizards,3
longer,3
machines,3
magician,3
meant,3
meeting,3
menu,3
miniature,3
monkeys,3
moon,3
mosquito,3
move,3
museum,3
mythical,3
need,3
normal,3
paper,3
party,3
phone,3
picture,3
placed,3
probably,3
public,3
reaper,3
ride,3
sea,3
seem,3
setting,3
sit,3
sky,3
smart,3
snails,3
soup,3
space,3
stabbed,3
stores,3
story,3
straight,3
surrounded,3
survive,3
