token,count
room,35
office,31
living,22
restaurant,18
cave,11
kitchen,9
desert,7
field,7
park,7
sidewalk,7
subway,7
bar,6
doctor,6
front,6
ocean,6
party,6
empty,5
island,5
therapist,5
backyard,4
building,4
castle,4
elevator,4
forest,4
meeting,4
mountain,4
ship,4
station,4
store,4
apartment,3
art,3
beach,3
city,3
cliff,3
courtroom,3
door,3
gallery,3
hospital,3
kingdom,3
laboratory,3
rooftop,3
scene,3
sea,3
shop,3
street,3
studio,3
yard,3
alleyway,2
baseball,2
bedroom,2
chamber,2
church,2
corporate,2
course,2
crime,2
desk,2
dinner,2
dwelling,2
gas,2
golf,2
heaven,2
hills,2
home,2
lab,2
location,2
middle,2
outside,2
plains,2
psychiatry,2
public,2
ranch,2
remote,2
residential,2
road,2
royal,2
sky,2
space,2
table,2
tailor,2
top,2
wedding,2
work,2
workplace,2
yoga,2
age,1
airplane,1
antique,1
area,1
auditorium,1
auto,1
back,1
balcony,1
barber,1
bathroom,1
bench,1
blank,1
boardroom,1
book,1
booth,1
cafe,1
cage,1
car,1
cemetery,1
china,1
classroom,1
cloud,1
clouds,1
community,1
complex,1
construction,1
counter,1
department,1
downtown,1
experimental,1
facility,1
farm,1
fire,1
flat,1
floor,1
funeral,1
game,1
graveyard,1
grocery,1
ground,1
hall,1
hamster,1
hard,1
heavan,1
hell,1
horse,1
house,1
inside,1
interrogation,1
jungle,1
ktichen,1
lawn,1
lecture,1
ledge,1
magic,1
mattress,1
mount,1
mountains,1
mountainside,1
museum,1
music,1
nest,1
nowhere,1
open,1
outdoors,1
path,1
pathway,1
patio,1
pharmacy,1
piano,1
pirate,1
place,1
plain,1
police,1
pool,1
prehistoric,1
prison,1
psychiatrist,1
psychologist,1
pyramids,1
railroad,1
rapunzel,1
recital,1
recording,1
repair,1
reservation,1
ridge,1
rock,1
roo,1
roof,1
sailing,1
sand,1
sandbox,1
science,1
setting,1
shared,1
show,1
side,1
signing,1
sinai,1
site,1
small,1
snowfield,1
stage,1
stone,1
stop,1
throne,1
throneroom,1
tower,1
traffic,1
train,1
tree,1
ufo,1
village,1
walkway,1
wall,1
wasteland,1
whale,1
wild,1
woodlands,1
woods,1
workspace,1
