contest_id,num_captions,image_locations,image_descriptions,image_uncanny_descriptions,entities,questions,Top Rated caption,The New Yorker's winner,date,Number of votes
510,3905.0,['the street'],['A man is relaxing on a city street. Others are going about their business and stepping on him as they pass.'],['A man is just laying in the middle of the sidewalk.'],"['https://en.wikipedia.org/wiki/Bystander_effect', 'https://en.wikipedia.org/wiki/Crowd']",['Why is he laying there?'],“I'm a congressman--obstruction is my job.”,,2016-03-07,82627
511,3325.0,"['the front hard', 'a residential walkway']","['A man in a winter coat and cap is looking at a small bearded man holding a snow shovel much taller than him. The ground is covered in snow, except for a path leading to a house.', 'A man is in the snow. A boy with a huge snow shovel is there too. They are outside a house.', 'A man is walking down a sidewalk. He is looking at another person hiding in the snow.']","[""It's unusual to see someone holding a snow shovel in the way the man is, as well as to have one so much larger than oneself."", 'The boy has a huge snow shovel.', 'Nothing is out of place.']","['https://en.wikipedia.org/wiki/Snowball_fight', 'https://en.wikipedia.org/wiki/Winter', 'https://en.wikipedia.org/wiki/Snow_removal', 'https://en.wikipedia.org/wiki/Snow_shovel']","['Is the man overly small or the shovel overly big?', 'Why does the boy have a huge snow shovel?', 'What are they doing?', 'What is the man in the foreground holding in his hand?']",“I'm hourly.”,,2016-03-14,56660
512,4399.0,"['yoga place', 'a yoga studio']","['A man and woman are standing facing one another (mirrored) inside of a yoga studio. The man looks upset at what the woman is telling him. The man is carrying a living room rug and the woman is carrying a yoga mat.', 'A man is carrying a rug into a dance studio. He is having a conversation with the instructor.', 'A man is hauling a huge rug into a yoga studio. A woman is talking to him. People are doing yoga on mats.']","['Nothing is really out of place in this image.', 'The man has a huge rug that is too big for the yoga studio.', ""It's typical to use a yoga mat in a yoga studio so it's unusual to see someone trying to use a living room heavy rug as their yoga mat.""]","['https://en.wikipedia.org/wiki/Rug', 'https://en.wikipedia.org/wiki/Yoga_mat', 'https://en.wikipedia.org/wiki/Carpet']","['Why is the man carrying a huge rug?', 'Why is the man trying to use a living room rug instead of a yoga mat?', 'What is the rug for?']","“We're pretentious, not ostentatious.”",,2016-03-21,43120
513,4141.0,"['a workplace', 'an elevator']","[""Three business men are walking down a hall. They're carrying a briefcase between them."", 'Three men walk with one three handled suitcase together. Its long enough for them all to carry.', 'Some men are all carrying a briefcase. It is big enough for three people and they are all carrying it.']","['A suit case is usually carried by one person not three.', 'There is a super-sized briefcase that is long and all three men are carrying it.', 'The briefcase is way longer than it should be.']","['https://en.wikipedia.org/wiki/Worker_cooperative', 'https://en.wikipedia.org/wiki/White-collar_worker', 'https://en.wikipedia.org/wiki/Suitcase', 'https://en.wikipedia.org/wiki/Briefcase']","['Why is the briefcase big enough for three people and why are they carrying it?', 'Why are they all carrying the same suitcase?', 'What is in the briefcase?']","“I'm just saying, I can see why the 'brief'case is more popular.”",,2016-03-27,34013
514,3951.0,['plains'],['Some cowboys are riding through the desert. They are all on rocking horses.'],['There are rocking horses in place of real horses.'],"['https://en.wikipedia.org/wiki/Rocking_horse', 'https://en.wikipedia.org/wiki/Cowboy_(disambiguation)']",['Why is this chase taking place?'],"“No, you grow up”",,2016-04-03,192198
515,4270.0,"['a railroad', 'a subway']","['People are laying on the subway tracks as an on coming train approaches. They have casts and bandages on.', ""Two men are sitting lounging on furniture on railroad tracks behind a train. They are wearing cast on multiple limbs and look like they've been in a previous accident accident. One of them is taking notes and has a shocked expression looking toward the train, as though the train just went by. There is something between the tracks like a conveyor belt or a road."", 'Two bandaged men are sitting on train tracks. There is a train coming at them.']","['They are putting themselves in danger by being on the track.', 'The train tracks are not a place for people to lounge.', ""It is strange that they would lounge on active railroad tracks where they could be killed, especially since they're already severely injured.""]","['https://en.wikipedia.org/wiki/Train', 'https://en.wikipedia.org/wiki/Patient', 'https://en.wikipedia.org/wiki/Passenger_car_(rail)', 'https://en.wikipedia.org/wiki/Orthopedic_cast', 'https://en.wikipedia.org/wiki/Track_(rail_transport)']","['Why are they bandaged up?', 'What caused their injuries.', 'Why are they laying on the track?']",“Tell me about your childhood very quickly.”,,2016-04-10,47448
516,5918.0,"['restaurant', 'a restaurant']","['A couple is having drinks at a table when a cement block is heading down to one of them. Only one of them notices and looks up while the other one remains oblivious.', 'Two men are having breakfast. A cement block is falling from the ceiling. One man looks up.', 'Two men are eating at a restaurant. One is looking up at the ceiling, where an cinder block is about to drop on his companion.']","['The cinderblock is coming out of nowhere and is about to injury a man.', 'A cement block is falling from the ceiling.', ""A cinder block shouldn't be up on the ceiling.""]","['https://en.wikipedia.org/wiki/Safety', 'https://en.wikipedia.org/wiki/Concrete_masonry_unit', 'https://en.wikipedia.org/wiki/Coffee']","['Why is a cement block falling from the ceiling?', 'Who threw the cinderblock?', 'Is someone trying to kill the man?']",“I have no concrete plans for the rest of the day.”,,2016-04-17,49365
517,7782.0,['a courtroom'],"[""A lawyer is with his client in a courtroom. They're having a conversation.""]",['The client is Death.'],"['https://en.wikipedia.org/wiki/Lawyer', 'https://en.wikipedia.org/wiki/Death_(personification)']",['How do you arrest Death?'],“Who'd have thought they'd get you for tax evasion.”,,2016-04-24,59717
518,4509.0,"['top of building', 'a rooftop']","['A man is crawling across a sandbox. Two kids look on, wanting to play.', ""An adult man is in a kid's sandbox. He looks drunk. Two boys stare at him."", 'A man who is tattered and smelly is crawling around in a sandbox. A couple of children are watching him in fear.']","['There is an adult man in a sandbox for kids. Sandboxes are for kids.', 'The man looks disheveled and is scaring children with his actions.', ""The man is acting like he's crawling weakly through a desert.""]","['https://en.wikipedia.org/wiki/Sandpit', 'https://en.wikipedia.org/wiki/Play_(activity)', 'https://en.wikipedia.org/wiki/Desert', 'https://en.wikipedia.org/wiki/Sandbox']","['Why is the man crawling around the sandbox?', 'Is the man mentally ill?', ""Why is there a drunk man in a kid's sandbox?""]",“This saddest part is he's going in the wrong direction.”,,2016-05-01,248180
519,4614.0,"['woodlands', 'forest']","['Two pheasants are together watching a hunter. The hunter is carrying a rifle with a bird on it through the forest.', 'A hunter walks around with a gun over his shoulder. Two birds look on as another bird is on the hunters gun.', 'A hunter is out in the woods. A bird is sitting on top of his gun, and two other birds are watching from a distant branch.']","['Birds would be too scared to stay on the gun.', ""Birds don't usually get that close to humans."", 'There is a bird on the rifle. Normally birds are scared of guns.']","['https://en.wikipedia.org/wiki/Bird', 'https://en.wikipedia.org/wiki/Hunting', 'https://en.wikipedia.org/wiki/Shotgun_shell']","['Why is the bird on the gun?', 'Why is the bird on the rifle?', 'What are the birds thinking?']","“He's pro-gun, but I like his stance on migration.”",,2016-05-08,191935
520,6645.0,['therapist office'],['A psychiatrist is her office. There is a banana on her couch.'],['There is no patient.'],"['https://en.wikipedia.org/wiki/Banana_peel', 'https://en.wikipedia.org/wiki/Psychotherapy']",['Is she analyzing the banana?'],"“I have to ask, do you feel that you could be a danger to others?”",,2016-05-15,209322
521,5176.0,['the sidewalk'],['A couple is walking in the rain. The man is carrying a huge umbrella that dwarfs both of them.'],"[""The man's umbrella is absurdly huge.""]","['https://en.wikipedia.org/wiki/Umbrella', 'https://en.wikipedia.org/wiki/Rain']","[""Why is the man's umbrella so huge?""]",“Go and check if it's still raining. I'll wait here.”,,2016-05-22,183912
522,4747.0,"['a laboratory', 'lab']","[""Frankenstein's monster is on the table. A butler is talking to Frankenstein while he makes a potion."", 'A man experimenting in his lab is interrupted by his butler. He was experimenting on a monstrous man at a table.', 'A scientist in his dungeon lab. There is a creature strapped to a table, and a third man talking to the scientist.']","['It is illegal to do experiments on people without consent.', 'Frankenstein has a butler.', 'Nothing stands out as out of place.']","['https://en.wikipedia.org/wiki/Victor_Frankenstein', 'https://en.wikipedia.org/wiki/Butler', 'https://en.wikipedia.org/wiki/Frankenstein']","['What is the scientist going to do?', 'Why does Frankenstein have a butler?', 'Why is he experimenting on the man?']",“Have you tried turning it off and back on again?”,,2016-05-29,347335
