date,Wars
2016-03-01,40
2016-04-01,49
2016-05-01,40
2016-06-01,31
2016-07-01,31
2016-08-01,26
2016-09-01,30
2016-10-01,32
2016-11-01,33
2016-12-01,64
2017-01-01,44
2017-02-01,32
2017-03-01,29
2017-04-01,38
2017-05-01,35
2017-06-01,25
2017-07-01,26
2017-08-01,24
2017-09-01,26
2017-10-01,37
2017-11-01,40
2017-12-01,100
2018-01-01,40
2018-02-01,28
2018-03-01,29
2018-04-01,29
2018-05-01,36
2018-06-01,26
2018-07-01,24
2018-08-01,21
2018-09-01,20
2018-10-01,20
2018-11-01,19
2018-12-01,24
2019-01-01,22
2019-02-01,21
2019-03-01,21
2019-04-01,28
2019-05-01,26
2019-06-01,20
2019-07-01,19
2019-08-01,22
2019-09-01,20
2019-10-01,26
2019-11-01,45
2019-12-01,98
2020-01-01,57
2020-02-01,32
2020-03-01,30
2020-04-01,32
2020-05-01,40
2020-06-01,26
2020-07-01,24
2020-08-01,22
2020-09-01,23
2020-10-01,23
2020-11-01,30
2020-12-01,43
2021-01-01,32
2021-02-01,25
2021-03-01,21
2021-04-01,20
2021-05-01,27
2021-06-01,21
2021-07-01,22
2021-08-01,20
2021-09-01,21
2021-10-01,19
2021-11-01,21
2021-12-01,23
2022-01-01,26
2022-02-01,30
2022-03-01,26
2022-04-01,33
2022-05-01,36
2022-06-01,33
2022-07-01,27
2022-08-01,21
2022-09-01,19
2022-10-01,20
2022-11-01,20
2022-12-01,24
2023-01-01,22
2023-02-01,21
2023-03-01,23
2023-04-01,30
2023-05-01,36
2023-06-01,22
2023-07-01,20
2023-08-01,20
2023-09-01,23
