date,Trump
2016-03-01,43
2016-04-01,21
2016-05-01,23
2016-06-01,22
2016-07-01,39
2016-08-01,32
2016-09-01,31
2016-10-01,65
2016-11-01,100
2016-12-01,30
2017-01-01,76
2017-02-01,56
2017-03-01,35
2017-04-01,27
2017-05-01,33
2017-06-01,31
2017-07-01,28
2017-08-01,31
2017-09-01,24
2017-10-01,26
2017-11-01,23
2017-12-01,23
2018-01-01,28
2018-02-01,23
2018-03-01,23
2018-04-01,24
2018-05-01,20
2018-06-01,25
2018-07-01,26
2018-08-01,26
2018-09-01,22
2018-10-01,22
2018-11-01,23
2018-12-01,24
2019-01-01,30
2019-02-01,22
2019-03-01,18
2019-04-01,16
2019-05-01,16
2019-06-01,18
2019-07-01,21
2019-08-01,21
2019-09-01,21
2019-10-01,27
2019-11-01,23
2019-12-01,32
2020-01-01,25
2020-02-01,27
2020-03-01,38
2020-04-01,31
2020-05-01,25
2020-06-01,45
2020-07-01,35
2020-08-01,40
2020-09-01,38
2020-10-01,71
2020-11-01,88
2020-12-01,32
2021-01-01,59
2021-02-01,19
2021-03-01,10
2021-04-01,7
2021-05-01,8
2021-06-01,9
2021-07-01,8
2021-08-01,9
2021-09-01,7
2021-10-01,7
2021-11-01,6
2021-12-01,6
2022-01-01,6
2022-02-01,8
2022-03-01,7
2022-04-01,6
2022-05-01,5
2022-06-01,7
2022-07-01,14
2022-08-01,12
2022-09-01,8
2022-10-01,7
2022-11-01,12
2022-12-01,8
2023-01-01,5
2023-02-01,5
2023-03-01,13
2023-04-01,13
2023-05-01,7
2023-06-01,11
2023-07-01,6
2023-08-01,16
2023-09-01,8
