date,Climate,Covid,Trump,Wars
2016-03-01,19,0,43,40
2016-04-01,22,0,21,51
2016-05-01,21,0,23,41
2016-06-01,12,0,22,32
2016-07-01,10,0,39,31
2016-08-01,12,0,32,25
2016-09-01,19,0,31,30
2016-10-01,21,0,65,33
2016-11-01,25,0,100,33
2016-12-01,19,0,30,68
2017-01-01,22,0,76,46
2017-02-01,22,0,56,33
2017-03-01,23,0,35,30
2017-04-01,26,0,27,40
2017-05-01,24,0,33,36
2017-06-01,34,0,31,26
2017-07-01,12,0,28,27
2017-08-01,13,0,31,25
2017-09-01,23,0,24,25
2017-10-01,20,0,26,39
2017-11-01,21,0,23,42
2017-12-01,18,0,23,100
2018-01-01,19,0,28,42
2018-02-01,21,0,23,30
2018-03-01,20,0,23,30
2018-04-01,23,0,24,31
2018-05-01,21,0,20,37
2018-06-01,12,0,25,27
2018-07-01,10,0,26,25
2018-08-01,13,0,26,21
2018-09-01,19,0,22,20
2018-10-01,26,0,22,21
2018-11-01,25,0,23,20
2018-12-01,20,0,24,25
2019-01-01,20,0,30,23
2019-02-01,24,0,22,21
2019-03-01,26,0,18,22
2019-04-01,28,0,16,30
2019-05-01,28,0,16,27
2019-06-01,16,0,18,21
2019-07-01,13,0,21,19
2019-08-01,18,0,21,22
2019-09-01,46,0,21,21
2019-10-01,28,0,27,27
2019-11-01,25,0,23,46
2019-12-01,21,0,32,100
2020-01-01,23,0,25,59
2020-02-01,24,1,27,34
2020-03-01,18,52,38,30
2020-04-01,21,67,31,33
2020-05-01,19,47,25,40
2020-06-01,12,49,45,27
2020-07-01,11,68,35,26
2020-08-01,13,49,40,22
2020-09-01,30,38,38,23
2020-10-01,22,50,71,24
2020-11-01,17,68,88,31
2020-12-01,15,76,32,44
2021-01-01,18,77,59,32
2021-02-01,18,64,19,25
2021-03-01,16,71,10,21
2021-04-01,19,55,7,21
2021-05-01,16,40,8,27
2021-06-01,13,27,9,21
2021-07-01,13,40,8,22
2021-08-01,15,79,9,21
2021-09-01,18,59,7,21
2021-10-01,19,37,7,20
2021-11-01,19,42,6,22
2021-12-01,15,81,6,23
2022-01-01,19,100,6,29
2022-02-01,21,30,8,31
2022-03-01,24,21,7,26
2022-04-01,100,20,6,34
2022-05-01,31,26,5,37
2022-06-01,18,25,7,35
2022-07-01,17,28,14,28
2022-08-01,21,20,12,22
2022-09-01,27,16,8,22
2022-10-01,26,14,7,21
2022-11-01,26,12,12,21
2022-12-01,21,15,8,25
2023-01-01,23,12,5,23
2023-02-01,26,9,5,22
2023-03-01,28,7,13,24
2023-04-01,54,6,13,31
2023-05-01,29,5,7,38
2023-06-01,17,4,11,22
2023-07-01,17,4,6,20
2023-08-01,21,10,16,21
2023-09-01,29,12,8,23
