date,Covid
2016-03-01,0
2016-04-01,0
2016-05-01,0
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,0
2016-11-01,0
2016-12-01,0
2017-01-01,0
2017-02-01,0
2017-03-01,0
2017-04-01,0
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,0
2017-11-01,0
2017-12-01,0
2018-01-01,0
2018-02-01,0
2018-03-01,0
2018-04-01,0
2018-05-01,0
2018-06-01,0
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,0
2018-11-01,0
2018-12-01,0
2019-01-01,0
2019-02-01,0
2019-03-01,0
2019-04-01,0
2019-05-01,0
2019-06-01,0
2019-07-01,0
2019-08-01,0
2019-09-01,0
2019-10-01,0
2019-11-01,0
2019-12-01,0
2020-01-01,0
2020-02-01,1
2020-03-01,51
2020-04-01,65
2020-05-01,45
2020-06-01,49
2020-07-01,72
2020-08-01,48
2020-09-01,38
2020-10-01,50
2020-11-01,69
2020-12-01,76
2021-01-01,78
2021-02-01,62
2021-03-01,73
2021-04-01,59
2021-05-01,40
2021-06-01,27
2021-07-01,40
2021-08-01,81
2021-09-01,61
2021-10-01,41
2021-11-01,42
2021-12-01,78
2022-01-01,100
2022-02-01,30
2022-03-01,22
2022-04-01,21
2022-05-01,26
2022-06-01,25
2022-07-01,28
2022-08-01,21
2022-09-01,16
2022-10-01,13
2022-11-01,12
2022-12-01,15
2023-01-01,12
2023-02-01,9
2023-03-01,7
2023-04-01,6
2023-05-01,5
2023-06-01,4
2023-07-01,4
2023-08-01,9
2023-09-01,12
